Case Nbr,Location,Date and Time Reported,Date and Time of Occurrence,Synopsis,Disposition,Crime
211110,Knapp Res. Hall,11/14/2021 1710 hours,11/14/2021 1710 hours,"An officer documented information in reference to a welfare check on a student, which occurred at Knapp Residence Hall.",Incident Report - Case Closed,Welfare check
211109,Wall Res. Hall,11/14/2021 1602 hours,Between11/14/2021 153011/14/2021 1600,"An officer investigated theft, which occurred at the North bicycle racks at Wall Residences Hall. An unsecured bicycle was stolen.",Open Active,Bike theft
211108,Z3L Parking Lot,11/14/2021 1408 hours,Between11/14/2021 040011/14/2021 1400,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z3-L parking lot.",Open Inactive,Striking of unattended vehicle
211107,R14 Parking Lot,11/14/2021 0836 hours,11/14/2021 0836 hours,"An officer documented information in reference to damaged property, which occurred in the R-14 parking lot. A pole was damaged.",Incident Report - Case Closed,General Damaged Property
211106,Z6A Parking Lot,11/14/2021 0805 hours,11/14/2021 0805 hours,"An officer arrested  a non-student for possession of a controlled substance (THC Oil), unlawful carrying of a weapon (handgun), possession of marijuana, possession of more than one valid driver license, possession of alcohol by a minor and possession of drug paraphernalia, which occurred in the Z6-A parking lot. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Consumption of alcohol by a minor
211105,Z2D Parking Lot,11/14/2021 0156 hours,11/14/2021 0156 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana, which occurred in the Z2-D parking lot. The non-student was also issued a Lubbock County citation for possession of drug paraphernalia. The non-student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
211104,Chitwood Res. Hall,11/14/2021 0031 hours,11/14/2021 0031 hours,"An officer arrested  a student for public intoxication, which occurred at Chitwood Residence  Hall. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
211103,Red Raider Avenue,11/13/2021 1400 hours,11/13/2021 1400 hours,"An officer issued a  non-student a Lubbock County citation for open container of alcohol in a  vehicle, which occurred in the 2700 block of Drive of Champions. The non-student passenger signed the citation and was released.",Cleared By Arrest,UNDEFINED
211101,Education,11/13/2021 0710 hours,11/13/2021 0710 hours,"An officer investigated criminal mischief, which occurred at the Education Courtyard Fountain. Detergent was poured into the fountain.",Open Inactive,Criminal mischief
211100,Z3G Parking Lot,11/12/2021 1905 hours,11/12/2021 1905 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana and possession of a controlled substance (THC Oil and Synthetic Marijuana), which occurred in the Z3-G parking lot. The student was also  issued a Lubbock County citation for possession of drug paraphernalia, which the student signed and was released.",Cleared By Arrest,Possession of drug paraphernalia
211099,R25 Parking Lot,11/12/2021 1344 hours,Between11/05/2021 180011/06/2021 0930,"An officer investigated burglary of a motor vehicle, which occurred in the R-25 parking lot. Items were stolen from a secured vehicle.",Open Inactive,Burgalry of a motor vehicle
211096,University Avenue,11/12/2021 0150 hours,11/12/2021 0150 hours,"An officer documented information in reference to assisting another agency (Lubbock  Police Department), in reference to a single vehicle traffic accident, with injuries, which occurred in the 1100 block of University Avenue. The operator of the vehicle fled the scene and was later apprehended by a  Texas Tech Police Officer in the Z1-B parking lot. See Lubbock Police Department case number #2144655.",Incident Report - Case Closed,Vehicle accident
211095,Coleman Res. Hall,11/12/2021 0026 hours,11/12/2021 0026 hours,"An officer released  a student, pending the filing of charges, for possession of drug paraphernalia, which occurred at Coleman Residence Hall.",Cleared By Case Presentment,Possession of drug paraphernalia
211094,West Village A Res. Hall,11/11/2021 2328 hours,11/11/2021 2328 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred at West Village A Residence Hall.",Cleared By Case Presentment,Possession of drug paraphernalia
211093,Z4R Parking Lot,11/11/2021 1950 hours,Between11/09/2021 103011/11/2021 1940,"An officer investigated criminal mischief, which occurred in the Z4-R parking lot. A vehicle side mirror was damaged.",Open Inactive,Criminal mischief
211092,West Village A Res. Hall,11/11/2021 1043 hours,Between11/09/2021 102111/11/2021 0757,"An officer investigated theft by fraud, which occurred at West Village A Residence Hall.",Open Active,General theft
211091,Drive of Champions,11/11/2021 0808 hours,11/11/2021 0808 hours,"An officer investigated a traffic accident, without injuries, which occurred in the 3100 block of Drive of Champions.",Incident Report - Case Closed,Vehicle accident
211090,Chitwood Res. Hall,11/11/2021 0007 hours,11/11/2021 0007 hours,"An officer released  a student, pending the filing of charges, for possession of a controlled substance (Adderall), which occurred at Chitwood Residence Hall. A second student was issued a Lubbock County citation for possession of drug paraphernalia, which the student signed and both students were released.",Cleared By Arrest,Possession of drug paraphernalia
211089,Z4P Parking Lot,11/10/2021 2308 hours,11/10/2021 2308 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred in the Z4-P parking lot. The student also received a Lubbock County citation for possession of drug paraphernalia. The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
211088,R18 Parking Lot,11/10/2021 1649 hours,11/10/2021 1649 hours,"An officer investigated a traffic accident, with minor injuries, which occurred in the R-18 parking lot. A vehicle struck a pedestrian.",Incident Report - Case Closed,Vehicle accident
211087,Holden Hall,11/10/2021 1458 hours,Between11/10/2021 134011/10/2021 1450,"An officer investigated theft, which occurred at the southeast bicycle racks at Holden Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
